0	1
0	2
0	3
0	4
0	5
0	6
0	7
0	8
0	9
0	10
0	11
0	12
0	13
0	14
0	15
0	16
0	17
0	18
0	19
0	20
0	21
0	22
0	23
0	24
0	15
1	16
1	17
1	18
1	19
1	20
1	21
1	22
1	23
1	24
1	25
2	26
2	27
2	28
2	29
2	30
2	31
2	32
3	33
3	34
3	35
3	36
3	37
3	38
3	39
3	40
5	41
5	13
5	16
5	19
5	20
5	42
5	43
5	44
5	45
5	46
5	47
5	48
5	49
5	50
6	7
6	11
6	21
6	34
6	38
6	15
6	18
6	45
6	46
6	51
7	52
7	53
7	54
7	55
7	56
7	57
7	58
8	59
8	60
8	61
8	56
8	34
9	37
9	19
9	11
9	10
10	23
10	35
10	56
10	43
10	29
11	51
11	15
11	19
12	20
12	25
12	45
12	56
12	24
14	41
14	51
14	26
15	15
15	18
15	19
15	49
16	63
16	64
16	65
16	66
17	67
17	68
17	69
17	70
17	71
17	72
18	73
18	78
18	79
18	80
18	81
19	82
19	83
19	84
20	85
20	86
20	87
20	88
20	89
21	90
21	91
21	92
21	93
21	94
22	95
22	96
22	97
23	98
23	99
23	100
